num,x,y,targetX,targetY,errorX,errorY,tot_error,PID_x,PID_y
0,0,0,0,0,0,0,0.0,-0.0,-0.0
1,0,0,0,0,0,0,0.0,-0.0,-0.0
2,0,0,0,0,0,0,0.0,-0.0,-0.0
3,0,0,0,0,0,0,0.0,-0.0,-0.0
4,0,0,0,0,0,0,0.0,-0.0,-0.0
5,0,0,0,0,0,0,0.0,-0.0,-0.0
6,0,0,0,0,0,0,0.0,-0.0,-0.0
7,0,0,0,0,0,0,0.0,-0.0,-0.0
8,0,0,0,0,0,0,0.0,-0.0,-0.0
9,0,0,0,0,0,0,0.0,-0.0,-0.0
10,0,0,0,0,0,0,0.0,-0.0,-0.0
11,0,0,0,0,0,0,0.0,-0.0,-0.0
12,0,0,0,0,0,0,0.0,-0.0,-0.0
13,0,0,0,0,0,0,0.0,-0.0,-0.0
14,0,0,0,0,0,0,0.0,-0.0,-0.0
15,0,0,0,0,0,0,0.0,-0.0,-0.0
16,0,0,0,0,0,0,0.0,-0.0,-0.0
17,0,0,0,0,0,0,0.0,-0.0,-0.0
18,0,0,0,0,0,0,0.0,-0.0,-0.0
19,0,0,0,0,0,0,0.0,-0.0,-0.0
20,0,0,0,0,0,0,0.0,-0.0,-0.0
21,0,0,0,0,0,0,0.0,-0.0,-0.0
22,0,0,0,0,0,0,0.0,-0.0,-0.0
23,0,0,0,0,0,0,0.0,-0.0,-0.0
24,0,0,0,0,0,0,0.0,-0.0,-0.0
25,0,0,0,0,0,0,0.0,-0.0,-0.0
26,0,0,0,0,0,0,0.0,-0.0,-0.0
27,0,0,0,0,0,0,0.0,-0.0,-0.0
28,0,0,0,0,0,0,0.0,-0.0,-0.0
29,0,0,0,0,0,0,0.0,-0.0,-0.0
30,0,0,0,0,0,0,0.0,-0.0,-0.0
31,0,0,0,0,0,0,0.0,-0.0,-0.0
32,0,0,0,0,0,0,0.0,-0.0,-0.0
33,0,0,0,0,0,0,0.0,-0.0,-0.0
34,0,0,0,0,0,0,0.0,-0.0,-0.0
35,0,0,0,0,0,0,0.0,-0.0,-0.0
36,0,0,0,0,0,0,0.0,-0.0,-0.0
37,0,0,0,0,0,0,0.0,-0.0,-0.0
38,0,0,0,0,0,0,0.0,-0.0,-0.0
39,0,0,0,0,0,0,0.0,-0.0,-0.0
40,0,0,0,0,0,0,0.0,-0.0,-0.0
41,0,0,0,0,0,0,0.0,-0.0,-0.0
42,0,0,0,0,0,0,0.0,-0.0,-0.0
43,0,0,0,0,0,0,0.0,-0.0,-0.0
44,0,0,0,0,0,0,0.0,-0.0,-0.0
45,0,0,0,0,0,0,0.0,-0.0,-0.0
46,0,0,0,0,0,0,0.0,-0.0,-0.0
47,0,0,0,0,0,0,0.0,-0.0,-0.0
48,0,0,0,0,0,0,0.0,-0.0,-0.0
49,0,0,0,0,0,0,0.0,-0.0,-0.0
50,0,0,0,0,0,0,0.0,-0.0,-0.0
51,0,0,0,0,0,0,0.0,-0.0,-0.0
52,0,0,0,0,0,0,0.0,-0.0,-0.0
53,0,0,0,0,0,0,0.0,-0.0,-0.0
54,0,0,0,0,0,0,0.0,-0.0,-0.0
55,0,0,0,0,0,0,0.0,-0.0,-0.0
56,0,0,0,0,0,0,0.0,-0.0,-0.0
57,0,0,0,0,0,0,0.0,-0.0,-0.0
58,0,0,0,0,0,0,0.0,-0.0,-0.0
59,0,0,0,0,0,0,0.0,-0.0,-0.0
60,0,0,0,0,0,0,0.0,-0.0,-0.0
61,7.4,18.2,0,0,-7.4,-18.2,19.6468827043885,30.0,30.0
62,7.1,17.5,0,0,-7.1,-17.5,18.885444130334875,0.8618774154110826,2.4880981707339966
63,6.7,16.6,0,0,-6.7,-16.6,17.90111728356641,-0.5483475149923773,-0.43925581729167185
64,6.3,15.9,0,0,-6.3,-15.9,17.10263137648707,-0.7177956950502384,1.3330798075279526
65,6.0,15.0,0,0,-6.0,-15.0,16.15549442140351,0.4490852980012363,-0.2951080466728939
66,5.5,14.3,0,0,-5.5,-14.3,15.321227104902531,-2.293180796162577,0.4756351399918195
67,5.1,13.4,0,0,-5.1,-13.4,14.337712509323095,-0.9987344226341843,-1.1768285964006981
68,4.8,12.6,0,0,-4.8,-12.6,13.483323032546538,-0.1498652943210903,-0.5682622850702135
69,4.4,11.7,0,0,-4.4,-11.7,12.5,-0.9626667984974735,-1.1142125030348558
70,4.0,10.8,0,0,-4.0,-10.8,11.516944039110376,-2.755258493105565,-5.1237776909625525
71,3.6,10.0,0,0,-3.6,-10.0,10.628264204469138,-1.2123878401124193,-0.6755195946548715
72,3.2,9.0,0,0,-3.2,-9.0,9.551963149007642,-1.3655686841547614,-2.8693481596512562
73,2.8,8.2,0,0,-2.8,-8.2,8.664871608973788,-1.7793453479606325,-1.8437829766841825
74,2.5,7.2,0,0,-2.5,-7.2,7.621679604916491,-1.025658013080894,-4.542170530963114
75,2.2,6.3,0,0,-2.2,-6.3,6.673080248281149,-1.122543523031881,-3.826571770905171
