num,x,y,targetX,targetY,errorX,errorY,tot_error,PID_x,PID_y
0,0,0,-6.8278177434343,-4.169150307529255,0,0,0.0,-0.0,-0.0
1,0,0,-6.774283837500891,-4.255592581683081,0,0,0.0,-0.0,-0.0
2,0,0,-6.629943816635025,-4.4771222282531555,0,0,0.0,-0.0,-0.0
3,0,0,-6.475918771727246,-4.697174454847237,0,0,0.0,-0.0,-0.0
4,0,0,-6.315473579923146,-4.910794496580665,0,0,0.0,-0.0,-0.0
5,0,0,-6.154119732147029,-5.111533067342989,0,0,0.0,-0.0,-0.0
6,0,0,-5.977885506214605,-5.316555636535237,0,0,0.0,-0.0,-0.0
7,0,0,-5.787811445487569,-5.522880965852912,0,0,0.0,-0.0,-0.0
8,0,0,-5.611787550825784,-5.701650368417476,0,0,0.0,-0.0,-0.0
9,0,0,-5.425455268537613,-5.879240545190476,0,0,0.0,-0.0,-0.0
10,0,0,-5.225993485086912,-6.057223630773944,0,0,0.0,-0.0,-0.0
11,0,0,-5.023548151398054,-6.226141975184062,0,0,0.0,-0.0,-0.0
12,0,0,-4.810895667354975,-6.391880265083418,0,0,0.0,-0.0,-0.0
13,0,0,-4.604539020447336,-6.542104044051459,0,0,0.0,-0.0,-0.0
14,0,0,-4.389528564592621,-6.688267407370793,0,0,0.0,-0.0,-0.0
15,0,0,-4.168516298265925,-6.828208805902764,0,0,0.0,-0.0,-0.0
16,0,0,-3.936230944172908,-6.964693947568856,0,0,0.0,-0.0,-0.0
17,0,0,-3.7076217207776145,-7.08902447959286,0,0,0.0,-0.0,-0.0
18,0,0,-3.461890849823745,-7.212212847856823,0,0,0.0,-0.0,-0.0
19,0,0,-3.2186047611907744,-7.324017704118932,0,0,0.0,-0.0,-0.0
20,0,0,-2.9776625413132063,-7.425239351681779,0,0,0.0,-0.0,-0.0
21,0,0,-2.728273669426486,-7.520442864294436,0,0,0.0,-0.0,-0.0
22,0,0,-2.4700333732222806,-7.6091697238850475,0,0,0.0,-0.0,-0.0
23,0,0,-2.2249016766626126,-7.684416227312025,0,0,0.0,-0.0,-0.0
24,0,0,-1.9758263094195445,-7.752207206909515,0,0,0.0,-0.0,-0.0
25,0,0,-1.7132171382157761,-7.814435214333118,0,0,0.0,-0.0,-0.0
26,0,0,-1.45709853781658,-7.866210888231189,0,0,0.0,-0.0,-0.0
27,0,0,-0.9337842550028131,-7.945328060790596,0,0,0.0,-0.0,-0.0
28,0,0,-0.6644072249377868,-7.972372904207904,0,0,0.0,-0.0,-0.0
29,0,0,-0.41241557931509754,-7.989368806647425,0,0,0.0,-0.0,-0.0
30,0,0,-0.15253940645559969,-7.9985475277651235,0,0,0.0,-0.0,-0.0
31,0,0,0.10667212574599012,-7.999287104942032,0,0,0.0,-0.0,-0.0
32,0,0,0.3853804492283802,-7.990706438456617,0,0,0.0,-0.0,-0.0
33,0,0,0.6391450187499531,-7.974418032021842,0,0,0.0,-0.0,-0.0
34,0,0,0.912468304534648,-7.947778539972214,0,0,0.0,-0.0,-0.0
35,0,0,1.1636439113225474,-7.914900061126337,0,0,0.0,-0.0,-0.0
36,0,0,1.4331895795153091,-7.870554197520048,0,0,0.0,-0.0,-0.0
37,0,0,1.6822225573641578,-7.821109309682393,0,0,0.0,-0.0,-0.0
38,11.6,16.1,1.9483749778196908,-7.759083759524815,-9.651625022180308,-23.859083759524815,25.737321993804986,30.0,30.0
39,10.9,15.2,2.199051298245331,-7.691799410250782,-8.700948701754669,-22.891799410250783,24.489609808033375,-5.2727358898199865,2.108155536528697
40,10.6,14.4,2.4534554487537044,-7.614464288550631,-8.146544551246295,-22.01446428855063,23.473449385152403,-1.194593715091627,3.0619914195351967
41,10.1,13.3,2.717880867456526,-7.524125879186576,-7.382119132543474,-20.824125879186575,22.09388832956464,-3.260607905279132,0.09545788754511442
42,9.6,12.5,2.9429962955020983,-7.438962082992528,-6.657003704497901,-19.93896208299253,21.0208921615785,-4.314990628886189,1.4153622257759508
43,9.1,11.7,3.1899607676202364,-7.336445739188198,-5.910039232379763,-19.036445739188196,19.932757714609497,-4.0358163428604685,1.9855107903645717
44,8.6,10.5,3.4320486758191953,-7.226350605949143,-5.167951324180804,-17.726350605949143,18.464323077062307,-4.349166841040085,-2.682173730552453
45,8.1,9.6,3.6865769273783804,-7.0998883212655866,-4.413423072621619,-16.699888321265586,17.273232852037037,-4.316390496297174,0.5435198752810848
46,7.6,8.5,3.9310094769164623,-6.967520482956056,-3.6689905230835373,-15.467520482956056,15.896719200801842,-4.716407347084671,-2.1298485521917296
47,7.2,7.4,4.131799980020398,-6.850368901571654,-3.068200019979602,-14.250368901571655,14.576929210004531,-4.7417628610764915,-4.7859923355681495
48,6.9,6.4,4.362341593197556,-6.7059168057696485,-2.5376584068024446,-13.105916805769649,13.349335770343423,-3.26620757091379,-2.437858412349044
49,6.6,5.0,4.577831019653094,-6.560682960372491,-2.0221689803469056,-11.56068296037249,11.736207134135121,-3.5975728961666498,-7.803891359191839
50,6.5,4.1,4.7959559184267935,-6.402973893009923,-1.7040440815732065,-10.502973893009923,10.640311406589221,-1.5724303830352189,-2.77552963002225
51,6.3,2.9,5.002464796878937,-6.242959377803701,-1.297535203121063,-9.1429593778037,9.234571120929605,-2.7778255834625103,-6.818740294781937
52,6.3,1.9,5.206149334731293,-6.074069495359386,-1.0938506652687066,-7.974069495359386,8.04874484592038,-0.7420946505138688,-5.184227216959899
53,6.3,0.9,5.408733763685733,-5.894431444986208,-0.8912662363142667,-6.794431444986208,6.8526384819725585,-0.780068030656671,-5.570455721249946
54,6.4,-0.2,5.596981785818808,-5.7160168871110155,-0.8030182141811926,-5.516016887111015,5.574161869842016,0.2892213553574088,-7.706996179127145
55,6.5,-1.1,5.783012584371176,-5.5277264218137,-0.7169874156288243,-4.4277264218137,4.48540212473723,0.29482290653289467,-5.995067530921963
56,6.8,-2.3,5.957435485158683,-5.339307450919105,-0.8425645148413166,-3.0393074509191056,3.1539348032072847,2.570589354446211,-10.177402565254823
57,7.0,-3.0,6.129608161109024,-5.140703937313729,-0.8703918388909759,-2.140703937313729,2.31088625865457,1.5571871142354436,-5.233914528281738
58,7.3,-3.9,6.299000399331699,-4.931725110682945,-1.000999600668301,-1.0317251106829448,1.4375176188665768,2.6622283188313114,-7.693557500968904
59,7.6,-4.5,6.455531618186777,-4.7249622146798815,-1.1444683818132226,-0.22496221467988153,1.16636867027705,2.9304381157718513,-5.36288215555515
60,7.9,-5.3,6.597716808028549,-4.524314448514322,-1.3022831919714513,0.7756855514856777,1.5157933852854062,3.2641408853842364,-8.476132947927752
61,8.2,-5.9,6.75273846439263,-4.289480067848304,-1.4472615356073693,1.6105199321516963,2.1652575838238057,3.012093067942919,-5.936774746213032
62,8.5,-6.5,6.888584730975668,-4.067759273906809,-1.6114152690243317,2.432240726093191,2.9176110294059234,3.427395886843294,-6.906654027137283
63,8.8,-6.9,7.02575521856591,-3.825964892978809,-1.7742447814340911,3.0740351070211913,3.5493149175080103,3.4072878343991757,-4.965392117521258
64,9.1,-7.2,7.149732097219742,-3.58894801320904,-1.9502679027802579,3.6110519867909603,4.1040518203260845,3.714359357081546,-4.4650506270837536
65,9.3,-7.6,7.263858836981106,-3.3519806500437133,-2.036141163018895,4.248019349956286,4.710789661335238,2.8831988759300256,-5.957049712219498
66,9.4,-7.8,7.365234277138799,-3.122936401958467,-2.0347657228612013,4.677063598041533,5.100509332121262,2.005241687261779,-4.306082842354641
67,9.6,-8.1,7.461954644703319,-2.884210192846786,-2.138045355296681,5.215789807153214,5.636993990923626,3.1804038018714653,-5.660449133059732
68,9.7,-8.1,7.55745215654345,-2.6238224258565492,-2.1425478434565495,5.476177574143451,5.880393871591593,2.1661896222115087,-2.7389578610098977
69,9.6,-8.2,7.639440548209525,-2.374554053574783,-1.9605594517904743,5.825445946425216,6.14651233129219,0.1743915892476975,-4.039951257514358
70,9.7,-8.3,7.7141884495588515,-2.1191833277167564,-1.9858115504411478,6.180816672283244,6.491990623086265,2.3421201719602682,-4.302631215332526
71,9.7,-8.4,7.7785004438740994,-1.8693881048244045,-1.9214995561258998,6.530611895175596,6.807426258844162,1.3984013945100244,-4.60535104476289
72,9.6,-8.2,7.837929944934854,-1.6020395885530483,-1.7620700550651458,6.597960411446951,6.829199987551873,0.4367726671781862,-1.711845086001682
73,9.4,-8.1,7.886701845117974,-1.341512773233069,-1.5132981548820261,6.758487226766931,6.925837198486628,-0.638198016467717,-2.8405417622855254
74,9.4,-8.0,7.926529634369655,-1.081622477440282,-1.4734703656303454,6.918377522559718,7.073546667906444,1.4870446582564674,-3.0044509676288995
75,9.3,-7.6,7.958014204003701,-0.8184369885061757,-1.3419857959962993,6.781563011493824,6.913068982406946,0.5023784881087516,0.03219435311031216
76,9.2,-7.7,7.980032491567348,-0.5647473648596898,-1.2199675084326511,7.1352526351403105,7.238794850588606,0.4985370408765972,-5.374499621212105
77,9.0,-7.1,7.9945088444174655,-0.2962460031668865,-1.0054911555825345,6.803753996833113,6.87765082810819,-0.46153796486840815,1.8090163382113207
78,8.9,-7.2,7.999912315552782,-0.037345261934144384,-0.9000876844472181,7.162654738065855,7.218987514633254,0.551315804148558,-5.533093164198645
79,8.8,-6.6,7.997206194675192,0.21151987313781975,-0.8027938053248089,6.8115198731378195,6.85866465691532,0.5535366385919522,2.139787684731658
